time,EURUSD,GBPUSD,USDCAD,AUDUSD,USDJPY
2010-01-04 00:00:00+00:00,1.43153,1.61404,1.04735,0.89738,92.73
2010-01-05 00:00:00+00:00,1.44242,1.61131,1.04157,0.91223,92.488
2010-01-06 00:00:00+00:00,1.43646,1.59903,1.0397,0.91172,91.622
2010-01-07 00:00:00+00:00,1.44019,1.60214,1.03196,0.92016,92.378
2010-01-08 00:00:00+00:00,1.43175,1.59337,1.03426,0.9175,93.43
2010-01-09 00:00:00+00:00,1.44098,1.60218,1.02982,0.92471,92.664
2010-01-10 00:00:00+00:00,1.44098,1.60218,1.02982,0.92471,92.664
2010-01-11 00:00:00+00:00,1.44646,1.60885,1.02677,0.93079,92.292
2010-01-12 00:00:00+00:00,1.45082,1.61112,1.03398,0.9292,92.1
2010-01-13 00:00:00+00:00,1.44759,1.61513,1.03958,0.92011,91.126
2010-01-14 00:00:00+00:00,1.45232,1.62832,1.03118,0.92379,91.43
2010-01-15 00:00:00+00:00,1.44996,1.63333,1.0237,0.93114,91.254
2010-01-16 00:00:00+00:00,1.43861,1.62641,1.02913,0.92271,90.773
2010-01-17 00:00:00+00:00,1.43861,1.62641,1.02913,0.92271,90.773
2010-01-18 00:00:00+00:00,1.43684,1.62884,1.02944,0.9222,90.906
2010-01-19 00:00:00+00:00,1.44046,1.63523,1.02506,0.92706,90.682
2010-01-20 00:00:00+00:00,1.42804,1.63585,1.03192,0.92209,91.206
2010-01-21 00:00:00+00:00,1.41123,1.6302,1.04602,0.9111,91.206
2010-01-22 00:00:00+00:00,1.40992,1.62003,1.05094,0.90386,90.402
2010-01-23 00:00:00+00:00,1.41357,1.61048,1.05783,0.90057,89.83
2010-01-24 00:00:00+00:00,1.41357,1.61048,1.05783,0.90057,89.83
2010-01-25 00:00:00+00:00,1.41539,1.61157,1.05648,0.90445,89.972
2010-01-26 00:00:00+00:00,1.41476,1.62461,1.05696,0.90502,90.419
2010-01-27 00:00:00+00:00,1.40818,1.61431,1.06226,0.8999,89.675
2010-01-28 00:00:00+00:00,1.40296,1.6177,1.06384,0.89596,89.944
2010-01-29 00:00:00+00:00,1.39634,1.61421,1.06646,0.89312,89.803
2010-01-30 00:00:00+00:00,1.38624,1.59862,1.07038,0.88374,90.273
2010-01-31 00:00:00+00:00,1.38624,1.59862,1.07038,0.88374,90.273
2010-02-01 00:00:00+00:00,1.38763,1.59732,1.06847,0.88557,90.22
2010-02-02 00:00:00+00:00,1.39222,1.59454,1.06182,0.89187,90.782
2010-02-03 00:00:00+00:00,1.3976,1.59895,1.05746,0.8872,90.432
2010-02-04 00:00:00+00:00,1.38981,1.59149,1.06172,0.88196,90.882
2010-02-05 00:00:00+00:00,1.37423,1.57678,1.0723,0.86868,89.414
2010-02-06 00:00:00+00:00,1.3679,1.56625,1.07168,0.86845,89.244
2010-02-07 00:00:00+00:00,1.3679,1.56625,1.07168,0.86845,89.244
2010-02-08 00:00:00+00:00,1.36439,1.5601,1.07146,0.86618,89.3
2010-02-09 00:00:00+00:00,1.36559,1.55728,1.0744,0.86382,89.231
2010-02-10 00:00:00+00:00,1.37815,1.56944,1.06736,0.87739,89.77
2010-02-11 00:00:00+00:00,1.37482,1.56082,1.06222,0.87692,89.961
2010-02-12 00:00:00+00:00,1.36875,1.57011,1.05034,0.89044,89.78
2010-02-13 00:00:00+00:00,1.36333,1.57014,1.05032,0.8877,89.93
2010-02-14 00:00:00+00:00,1.36333,1.57014,1.05032,0.8877,89.93
2010-02-15 00:00:00+00:00,1.36238,1.56664,1.05095,0.88765,90.032
2010-02-16 00:00:00+00:00,1.35978,1.56651,1.04944,0.88932,90.052
2010-02-17 00:00:00+00:00,1.37621,1.57848,1.0438,0.90104,90.24
2010-02-18 00:00:00+00:00,1.36085,1.56793,1.04622,0.89869,91.118
2010-02-19 00:00:00+00:00,1.34674,1.54279,1.04986,0.88952,91.978
2010-02-20 00:00:00+00:00,1.3612,1.54726,1.03917,0.89894,91.519
2010-02-21 00:00:00+00:00,1.3612,1.54726,1.03917,0.89894,91.519
2010-02-22 00:00:00+00:00,1.36298,1.54708,1.03906,0.89992,91.634
2010-02-23 00:00:00+00:00,1.36063,1.55008,1.04264,0.90003,91.242
2010-02-24 00:00:00+00:00,1.35242,1.54448,1.05556,0.89254,90.188
